kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NECRO,25691.0,628.0,336.0,0.0,8.0,14.0,247.0,29545.945000000003,35594.73599999998,0.0,1.869047619047619
HEAVY,71674.0,1712.0,806.0,10.0,57.0,61.0,1874.0,130344.45699999998,107803.24399999998,0.0,2.1240694789081886
CHEMIST,48062.0,1078.0,870.0,8.0,12.0,116.0,1462.0,52733.378,78270.678,0.0,1.239080459770115
MAGE,419.0,1.0,3.0,0.0,0.0,0.0,0.0,74.0,90.952,0.0,0.3333333333333333
ELF,2050.0,1.0,7.0,0.0,0.0,2.0,58.0,33.0,246.96800000000002,0.0,0.14285714285714285
SOLDIER,19671.0,284.0,141.0,1.0,32.0,0.0,16.0,33542.674,21894.644,0.0,2.0141843971631204
PYRO,7596.0,127.0,30.0,0.0,24.0,0.0,0.0,5721.213,4069.958,0.0,4.233333333333333
MEDIC,13202.0,155.0,138.0,0.0,3.0,27.0,312.0,6287.104,12127.937,6646.0,1.1231884057971016
ARCHER,620.0,4.0,1.0,0.0,0.0,0.0,0.0,154.552,115.839,0.0,4.0
NINJA,2889.0,43.0,45.0,0.0,6.0,1.0,9.0,3190.709,1485.749,0.0,0.9555555555555556
SCOUT,7876.0,53.0,65.0,0.0,10.0,0.0,0.0,4278.116000000001,3307.6939999999995,0.0,0.8153846153846154
FASHIONISTA,207.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,NaN
ASSASSIN,202.0,6.0,5.0,0.0,1.0,0.0,0.0,87.583,127.7,0.0,1.2
